"Innleggsdato","Oppdatert","Tittel","Kommune","Epost kontaktperson","Type fordel","Published status","Beskrivelse"
"04/12/2017 - 14:20","04/07/2025 - 09:18","Randaberg fotball","Randaberg","","Fotball","✔","


organisasjonslogo_randaberg.png

      



Gratis inngang for TL, så lenge det er ledige plasser på kampdag.
"
"04/12/2017 - 14:20","04/02/2026 - 10:29","Kongeparken","Randaberg","sunniva@kongeparken.no","Aktivitetspark","✔","


skjermbilde_2023-10-10_kl._14.05.32.png

      



399,- for dagskort for TL (ordinær pris i port er 699,-). Billetter betales i port ved fremvisning av kulturkortet. Max 1 billett per kort per dag. Gjelder ordinære åpningstider i perioden april til og med august. Tilbudet gjelder ikke billetter til ""Halloween i Kongeparken"" og ""Jul i Kongeparken"".
"
"04/12/2017 - 14:20","01/10/2025 - 14:55","Risør akvarium","Risør","mail@risorakvarium.no","Opplevelsessenter","✔","


risorakvarium.png

      



 
Gratis inngang for trivselsledere.
 
Husk å ta med gyldig og utfylt kulturkort.
"
"04/12/2017 - 14:20","01/10/2025 - 14:57","Risør svømmehall","Risør","post@risor.kommune.no ","Svømmehall","✔","


risorsvommehall.png

      



 
Trivselsledere får 2 for 1 på inngangsbillett i Frisvømminga sine tider.
 
Husk å ta med gyldig og utfylt kulturkort.
"
"04/12/2017 - 14:20","04/07/2025 - 09:24","Sandnes Ulf","Sandnes","","Fotball","✔","


sandnes_ulf.png

      



Gratis inngang for TL på kampdag, så lenge det er ledige plasser. Billetter må hentes i Ulf-huset før kampdag.
"
"04/12/2017 - 14:20","26/04/2022 - 17:18","Riskahallen svømmehall","Sandnes","riskahallen@sandnes.kommune.no","Svømmehall","✔","


riskahallen.jpg

      



2 for 1 tilbud for TL når det er offentlig bading.
"
"04/12/2017 - 14:20","10/10/2023 - 14:48","Sandvika Fellesbad","Sandnes","sfa@lyse.net","Bading","✔","


sandvika_badebasseng.jpeg

      



20 kroner i inngang for TL. Gjelder ikke i skoleferien.
"
"04/12/2017 - 14:20","10/10/2023 - 14:50","Vitenfabrikken","Sandnes","jaf@jaermuseet.no","Vitensenter","✔","


vitenfabrikken.jpg

      



 
Gratis inngang for TL.
"
"04/12/2017 - 14:20","10/10/2023 - 14:50","Vitengarden","Sandnes","helene.larsen@jaermuseet.no","Vitensenter","✔","


vitengarden.png

      



 
Gratis inngang for TL.
"
"04/12/2017 - 14:20","16/02/2023 - 09:53","Stall Friheten","Sandnes","viacom@online.no","Riding","✖","


stall_friheten.jpg

      



 
"
"04/12/2017 - 14:20","10/10/2023 - 14:44","Sandnes golfklubb","Sandnes","post@sandnesgolfklubb.no","Golf","✔","


sandnes_golfklubb.jpg

      



Gratis «Veien til Golf kurs» for TL (det som før var grønt kort kurs). Påmelding til kurs via mail til post@golfmanagement.no
"
"04/12/2017 - 14:20","04/02/2026 - 10:29","Kongeparken","Sandnes","sunniva@kongeparken.no","Aktivitetspark","✔","


skjermbilde_2023-10-10_kl._14.05.32.png

      



399,- for dagskort for TL (ordinær pris i port er 699,-). Billetter betales i port ved fremvisning av kulturkortet. Max 1 billett per kort per dag. Gjelder ordinære åpningstider i perioden april til og med august. Tilbudet gjelder ikke billetter til ""Halloween i Kongeparken"" og ""Jul i Kongeparken"".
"
"04/12/2017 - 14:20","12/01/2022 - 08:33","Sauda skisenter","Sauda","anita@saudaskisenter.no","Skitrekk","✔","


saudaskisenter.png

      



Trivselsleder får 20% på heiskort ved kjøp av kort i luka.
Husk og ta med gyldig kulturkortet 
"
"04/12/2017 - 14:20","20/11/2024 - 10:28","Sirdal skisenter","Sirdal","tarjei@sirdalskisenter.no","Skitrekk","✖","


sirdalskisenter.jpg

      



 
20 % rabatt på dagskort og kveldskort for TL.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","23/06/2025 - 12:58","Skodje Trialklubb","Ålesund","","Motorsport","✔","


skodjetrail.jpg

      



Gratis lån av sykkel og sikkerhetsutstyr på treninger for TL, etter avtale. (NB! begrenset ant.) TL kan være med på treninger for passende aldersgruppe. Merk: Barna skal alltid ha følge av en voksen over 18 år. Tid og sted fås ved henvendelse til klubben.
Skodje Trialklubb kan komme til skolene og presentere sporten etter nærmere avtale med den enkelte skole.
 Alle skoler kan komme til Skodje Trialklubb på ""Takk for hjelpen-dagen"", som arrangeres etter avtale.
"
"04/12/2017 - 14:20","04/07/2025 - 10:23","Gomerhuset","Ålesund","","Trening","✔"," 
Gratis tilgang til trimrommet for TL, ved fremvisning av gyldig kulturkort. Tilgang fås ved å kontakte kommunen v/Magne Fylling.
"
"04/12/2017 - 14:20","18/10/2023 - 09:37","Smøla golfklubb","Smøla","post@smolagolfklubb.no","Golf","✔","
 
Gratis medlemskap i golfklubben. Gratis golfkurs som blir gyldig ved innmeldelse i klubben. Gratis trening en gang pr. uke i sesongen for klubbens juniorer. Halv greenfee (50kr) for TL i kommuner som Smøla samarbeider med.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","11/10/2023 - 13:56","Sogndal IL","Sogndal kommune","post@sogndalfotball.no","Fotball","✔","


sogndalil.png

      



Gratis inngang, så lenge det er ledige plasser på kampdag.
"
"04/12/2017 - 14:20","10/06/2025 - 13:57","Sogndal skisenter Hodlekve","Sogndal kommune","post@hodlekve.no","Skitrekk","✔","


sogndalhodlekve.png

      



Sogndal skisenter Hodlekve tilbyr 1/2 pris på dagskort og kveldskort mot at det blir vist fram gyldig kulturkort.
(Rabatt kan ikkje nyttast i ein pakke, t.d familiepakkedag).
"
"04/12/2017 - 14:20","03/07/2025 - 15:23","Dysjalandhallen, Solahallen, og Tananger svømmehall","Sola","","Svømming","✔","


skjermbilde_2023-10-10_kl._14.53.21.png

      



 
Halv pris for TL.
"
"04/12/2017 - 14:20","10/10/2023 - 14:55","Sola golfklubb","Sola","andre@solagk.no","Golf","✔","


skjermbilde_2023-10-10_kl._14.55.33.png

      



 
Gratis utlån av køller (Det koster 10. kr per bøtte) på Driving Range. Halv pris på 9-hullsbanen, halv pris på utlån av køller.
"
"04/12/2017 - 14:20","26/06/2025 - 12:55","Sola håndball","Sola","info@sola-hk.no","Håndball","✔","


sola-logo.png

      



 
Gratis adgang for TL når det er ledige plasser på kampdag.
"
"04/12/2017 - 14:20","04/02/2026 - 10:29","Kongeparken","Sola","sunniva@kongeparken.no","Aktivitetspark","✔","


skjermbilde_2023-10-10_kl._14.05.32.png

      



399,- for dagskort for TL (ordinær pris i port er 699,-). Billetter betales i port ved fremvisning av kulturkortet. Max 1 billett per kort per dag. Gjelder ordinære åpningstider i perioden april til og med august. Tilbudet gjelder ikke billetter til ""Halloween i Kongeparken"" og ""Jul i Kongeparken"".
"
"04/12/2017 - 14:20","26/11/2021 - 14:27","Sørmarka arena","Stavanger","post@folkehallene.no","","✔","


sormarka_arena.png

      



Vis fram gyldig kulturkort og få gratis adgang til flerbrukshallen!


Når det gjelder klatring må TL ha med seg en som har brattkort, eller leie instruktør.


Leie av skøyter, klatreutstyr og curlingutstyr kommer utenom.


Ved «Prøv Klatring» eller «Prøv Curling» er det kun utstyr som leies. 
Besøk nettsiden for å se når det er oppsatt «Prøv»-aktiviteter


"
"04/12/2017 - 14:20","23/06/2025 - 11:06","Norsk oljemuseum","Stavanger","post@norskolje.museum.no","Museum","✔","


norsk_olje_museum.png

      



Velkommen til gratis inngang for trivselsledere!
Husk gyldig kulturkort.
"
"04/12/2017 - 14:20","12/06/2024 - 14:26","Stavanger golfklubb","Stavanger","post@sgk.no","Golf","✔","


stavanger_golfklubb.jpg

      



Gratis utlån av golfkøller til alle trivselsledere.
"
"04/12/2017 - 14:20","10/10/2023 - 15:00","Rogaland teater","Stavanger","kirsti@rogaland-teater.no","Teater","✔","


rogaland_teater.jpg

      



Ved fremvisning av gyldig kulturkort får TL alene eller med en venn (dette gjelder ikke foreldre) komme inn på alle Rogaland Teater sine egne oppsetninger for 50 kroner per person. 
"
"04/12/2017 - 14:20","04/07/2025 - 09:11","Viking FK","Stavanger","","Fotball","✔","


viking.png

      



Gratis adgang for TL når det er ledige plasser på kampdag. Billetter hentes i billettluken på kampdag. Billettluken finner du ved port 4 og den åpner 1,5 time før kamp.
"
"04/12/2017 - 14:20","04/07/2025 - 10:07","Viking håndball","Stavanger","","Håndball","✔","


viking_handball.png

      



Gratis adgang for TL og 1 venn (barn / voksen) når det er ledige plasser på kampdag.
"
"04/12/2017 - 14:20","26/11/2021 - 14:25","Stavanger Oilers","Stavanger","anncathrin@oilers.no","Ishockey","✔","


oilers.png

      



Gratis adgang for trivselsledere med gyldig kulturkort når det er ledige plasser på kampdag (med unntak av sluttspillet).
"
"04/12/2017 - 14:20","26/11/2021 - 13:06","Museum Stavanger","Stavanger","siri.aavitsland@museumstavanger.no","Museum","✔","


must.jpg

      



Gratis inngang på alle de 10 museene som er en del av Museum Stavanger.
"
"04/12/2017 - 14:20","04/02/2026 - 10:28","Kongeparken","Stavanger","sunniva@kongeparken.no","Aktivitetspark","✔","


skjermbilde_2023-10-10_kl._14.05.32.png

      



399,- for dagskort for TL (ordinær pris i port er 699,-). Billetter betales i port ved fremvisning av kulturkortet. Max 1 billett per kort per dag. Gjelder ordinære åpningstider i perioden april til og med august. Tilbudet gjelder ikke billetter til ""Halloween i Kongeparken"" og ""Jul i Kongeparken"".
"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Stord fotball","Stord","post@stordfotball.no","","✔","Gratis inngang for TL, så lenge det er ledige plasser på kampdag.
"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Stord IL håndball","Stord","post@handballfestivalen.no","","✔","Gratis inngang på alle ​håndballkamper for TL.
"
"04/12/2017 - 14:20","04/07/2025 - 08:47","Bowl IT","Stord","","Bowling","✔","


bowlit.jpg

      



45 kroner per serie for TL inkludert sko.
"
"04/12/2017 - 14:20","23/06/2025 - 10:37","Stord minigolf","Stord","","","✔","40 % rabatt på minigolf for TL.
"
"04/12/2017 - 14:20","10/10/2023 - 15:02","Strand kino","Strand","roger.nybroen@strand.kommune.no","Kino","✔","


skjermbilde_2023-10-10_kl._15.01.12.png

      



2 for 1 tilbud for TL.
"
"04/12/2017 - 14:20","08/12/2021 - 08:49","Stryn symjehall","Stryn","kare.bruvoll.alme@stryn.kommune.no","","✔","


strynsymjehall.jpg

      



Gratis adgang for TL på offentlig bading.
"
"04/12/2017 - 14:20","18/10/2023 - 10:23","Langevåg basseng","Sula","lrk@xi.no","Svømming","✔","


langevagbasseng.jpg

      



 
20 kroner i rabatt på inngangsbillett til svømmehallen for TL, ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 10:26","Indre Sula fysio & velvære","Sula","sean@indresulafysio.no","Trening","✔","


indresulafysioogvelvaere.jpg

      



 
20 kroner i rabatt på inngangsbillett til treningsstudio for TL, ved fremvisning av gyldig kulturkort.
Barn under 15 år må være i følge med voksen (inntil 4 barn kan følges av 1 voksen). Ta kontakt på forhånd for å avtale innføring/treningsopplegg.
"
"04/12/2017 - 14:20","11/10/2023 - 11:57","Vikse paintball","Sveio","post@viksepaintball.no","Paintball","✔","


skjermbilde_2023-10-10_kl._15.17.22.png

      



TL spiller gratis alle dager. Minst 6 personer må delta per spill. Maks halvparten av spillerne kan være gratis trivselsledere. Minst 12 år, med underskrift fra foreldre.
"
"04/12/2017 - 14:20","11/10/2023 - 12:00","Tjernagel Leir og Fritidssenter","Sveio","finnerikke@finnerikke.no","Riding","✔","


tjernagel.gif

      



10% rabatt på ridekurs for TL.
"
"04/12/2017 - 14:20","15/12/2021 - 10:09","Stiftinga Sunnmøre museum","Sykkylven","ragna.dahl.gronnevet@mimer.no","Museum","✔","


stiftinga_sunnmore_museum.png

      



Gratis inngang på alle museer og arrangement for TL. Det er: Sunnmøre Museum, Aalesunds Museum, Godøy Kystmuseum, Ishavsmuseet Aarvak, Herøy Kystmuseum, Volda Bygdetun, Sivert Aarflot-Museet, Brudavolltunet, Norsk Møbelfaglig Senter, Sykkylven Naturhistoriske Museum, Ytste Skotet, Dalsfjord Fyrmuseum og Landbruksmuseet for Møre og Romsdal.
"
"04/12/2017 - 14:20","18/10/2023 - 09:35","Sykkylven kino","Sykkylven","finnerikke@finnerikke.no","Kino","✔","
 
2 for 1 tilbud for TL og en venn.
Husk å ta med gyldig kulturkort
"
"04/12/2017 - 14:20","18/10/2023 - 10:33","Velledalen symjehall","Sykkylven","","Svømming","✔","
 
2 for 1 tilbud for TL og en venn.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","23/06/2025 - 08:30","Stadion bowling","Time","post@stadion-bowling.no","Bowling","✔","


stadionbowling.png

      



TL kan spille gratis i følge med minimum en betalende venn. Sko inkludert i prisen. TL kan ha med seg venner og familie.
"
"04/12/2017 - 14:20","02/12/2021 - 11:59","Bryne FK","Time","post@brynefk.no","","✔","


bryne_fk.png

      



Gratis inngang for TL på kampdag, så lenge det er ledige plasser.
"
"04/12/2017 - 14:20","10/10/2023 - 13:58","Garborgmuseet","Time","garborg@jaermuseet.no","Museum","✔","


skjermbilde_2023-10-10_kl._13.51.59.png

      



 
 
 
Gratis inngang for trivselsledere.
"
"04/12/2017 - 14:20","04/02/2026 - 10:29","Kongeparken","Time","sunniva@kongeparken.no","Aktivitetspark","✔","


skjermbilde_2023-10-10_kl._14.05.32.png

      



399,- for dagskort for TL (ordinær pris i port er 699,-). Billetter betales i port ved fremvisning av kulturkortet. Max 1 billett per kort per dag. Gjelder ordinære åpningstider i perioden april til og med august. Tilbudet gjelder ikke billetter til ""Halloween i Kongeparken"" og ""Jul i Kongeparken"".
"
"04/12/2017 - 14:20","03/07/2025 - 15:11","Tvedestrand Fritidsklubb","Tvedestrand","","Fritidsklubb","✔"," 
Gratis inngang for TL på vanlige klubbkvelder Mandag-Onsdag.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","01/10/2025 - 14:53","Lyngmyr svømmehall","Tvedestrand","post@ttif.no","Svømming","✔","
 
Trivselsledere med gyldig og utfylt kulturkort kan bade gratis på familiebading. 
"
"04/12/2017 - 14:20","01/10/2025 - 14:41","Jernverksmuseet","Tvedestrand","kba@jernverksmuseet.no","Museum","✔","
 
Gratis omvisning for TL i ordinære åpningstider på Næs Jernverksmuseum i Tvedestrand.
 
Husk å ta med gyldig og utfylt kulturkort.
"
"04/12/2017 - 14:20","01/10/2025 - 14:59","Solberg gruve","Tvedestrand","kba@jernverksmuseet.no","Museum","✔","
 
Gratis omvisning for trivselsledere i ordinære åpningstider i Solberg gruve i Tvedestrand.
 
Husk å ta med gyldig og utfylt kulturkort.
"
"04/12/2017 - 14:20","24/04/2023 - 14:59","Haugaland håndball","Tysvær","post@h-hk.no","Håndball","✖","


haugaland_handball.png

      



Gratis inngang for TL og en venn/voksen så lenge det er ledige plasser på kampdag
"
"04/12/2017 - 14:20","03/07/2025 - 12:34","Tysvær kino","Tysvær","","Kino","✔","


tysvertunet-logo-sort.png

      



 
20 kroner rabatt for TL på visninger på tirsdag, onsdag, torsdag og fredag.
"
"04/12/2017 - 14:20","10/10/2023 - 15:06","Tysværtunet badeanlegg","Tysvær","oystein.simonsen@tysver.kommune.no","Bading","✔","


tysvertunet-logo-sort.png

      



 
""Klippekortpris"" alle dager i badeanlegget for TL.
"
"04/12/2017 - 14:20","24/04/2023 - 10:47","Avanti Fritidsklubb","Tysvær","mario.saetre@tysver.kommune.no","","✖","


avantifritidsklubb.jpg

      



Halv pris (10 kroner) for inngang på discokvelder for TL. Arrangeres annenhver fredag (partallsuker).
"
"04/12/2017 - 14:20","24/10/2023 - 14:36","Sjøborg kulturhus","Ulstein","sjoborg@ulstein.kommune.no","Kino","✔","
 
2 for 1 tilbud for TL på alle kinovisninger.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 09:26","IL Hødd Fotball","Ulstein","gardshol@hodd.no","Fotball","✔","
 
Gratis inngang for TL så lenge det er ledige plasser på kampdag.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 09:27","Ulstein bowling","Ulstein","kontakt@ulsteinbowling.no","Bowling","✔","
 
Halv pris for TL hvis de tar med en fulltbetalende venn/person.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","20/11/2024 - 09:28","Agder paintball","Vennesla","post@agderpaintball.no","Paintball","✖","


agder_paintball.jpg

      



TL spiller gratis. Minst 6 personer per spill. Maks en tredjedel av disse kan være gratis TL. TL må være minst 12 år, med underskrift fra foreldre. Dette er Grunnpakken.
Husk gyldig kulturkort.
"
"04/12/2017 - 14:20","12/09/2024 - 21:18","Moonlight ungdomsklubb","Vennesla","post@vennesla.kommune.no","Fritidsklubb","✖"," 
 
2 for 1 for TL på Moonlight sine arrangementer samt på løssalg i kiosk. TL får også 20 % på turer i regi av Moonlight. Ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","03/02/2025 - 11:57","Vennesla svømmehall","Vennesla","Steinar.Green@vennesla.kommune.no","Svømming","✔","
 
Trivselsledere betaler 40 kroner for inngang i Vennesla svømmehall.
Gyldig og utfylt kulturkort må tas med. 
 
For å låse skap, må man ha armbånd. Dette koster kr 50, men kan tas med hjem og brukes hver gang man går i svømmehallen.
Barn under 11 år må være i følge med ansvarlig badende over 18 år.
"
"04/12/2017 - 14:20","17/10/2023 - 10:22","Vest-Agder-Museet","Vennesla"," j.olsen@vestagdermuseet.no","Museum","✔","
 
Gratis inngang for TL og én voksen. Gjelder i Flekkefjord, Lista, Sjølingstad, Mandal og Kristiansand.
På Setesdalsbanen reiser kun TL gratis. 
Husk å ta med gyldig kulturtkort.
"
"04/12/2017 - 14:20","03/07/2025 - 12:22","Varmebassenget Myra kulturbygg og svømmehallen Tomrefjord","Vestnes","","Svømming","✔","
 
Gratis inngang for TL, ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 09:24","Tomrefjord kino","Vestnes","post@tomrefjordkino.no","Kino","✔","
 
15 kroner rabatt for TL ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 09:23","Ørskogfjell skisenter","Vestnes","orskogfjell.skilag@gmail.com","Skitrekk","✔","
 
2 for 1 tilbud for TL og en venn. Tilbudet gjelder dags/kveldskort.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","26/10/2023 - 08:40","Vestnes bueskytterklubb","Vestnes","vestnes@bueklubb.no","Aktivitetssenter","✔","
 
TL får ved fremvisning av gyldig kulturkort gratis inngang. Rabatten kan benyttes 3 ganger. Aldersgrense 10 år.
"
"04/12/2017 - 14:20","15/12/2021 - 10:08","Stiftinga Sunnmøre museum","Volda","ragna.dahl.gronnevet@mimer.no","Museum","✔","


stiftinga_sunnmore_museum.png

      



Gratis inngang på alle museer og arrangement. Det er: Sunnmøre Museum, Aalesunds Museum, Godøy Kystmuseum, Ishavsmuseet Aarvak, Herøy Kystmuseum, Volda Bygdetun, Sivert Aarflot-Museet, Brudavolltunet, Norsk Møbelfaglig Senter, Sykkylven Naturhistoriske Museum, Ytste Skotet, Dalsfjord Fyrmuseum og Landbruksmuseet for Møre og Romsdal.
"
"04/12/2017 - 14:20","18/10/2023 - 08:45","Volda golfklubb","Volda","finnerikke@finnerikke.no","Golf","✔","
 
Gratis greenfee, gratis polett til driving range og gratis utlån av køller. Alt ifølge med kyndig betalende spiller i én måned.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 09:34","Volda skisenter","Volda","post@voldaskisenter.no","Skitrekk","✔","
 
Gratis kjøring onsdag kveld for TL. Frikort fåes i kiosken.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","16/12/2025 - 12:03","Voss Active","Voss herad","post@vossactive.no","Klatrepark","✔","


vossactive.png

      



Voss Active gir 50% rabatt for trivselsledere ved fremvisning av gyldig kulturkort i Voss klatre- og ziplinepark og familierafting. 
 
"
"04/12/2017 - 14:20","17/02/2026 - 11:08","Voss Resort","Voss herad","anna@vossresort.no","Skitrekk","✔","


voss-resort-logo-dark.png

      



 
Vintersesongen 25/26: Voss resort (skisenter) tilbyr 30% avslag på dagskort og kveldskort. Koden gjelder og på flerdagskort.
Book online og bruk kode trivsel100%. Husk å ha med gyldig kulturkort, koden kan kun benyttes av Trivselsledere.
 
"
"04/12/2017 - 14:20","23/06/2025 - 10:20","Atlanterhavsparken","Ålesund","","","✖","Rabatt tilsvarende grupperabatt. NB: Hva er grupperabatt
"
"04/12/2017 - 14:20","18/10/2023 - 09:49","Moa svømmehall","Ålesund","endre.helgaa@alesund.kommune.no","Bading","✔","
 
Halv pris for TL, ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","18/10/2023 - 09:43","Stiftinga Sunnmøre museum","Ålesund","ragna.dahl.gronnevet@mimer.no","Museum","✔","


stiftingasunnmoremuseum.png

      



Gratis inngang på alle museer og arrangement for TL, ved fremvisning av gyldig kulturkort.
Det er: Sunnmøre Museum, Aalesunds Museum, Godøy Kystmuseum, Ishavsmuseet Aarvak, Herøy Kystmuseum, Volda Bygdetun, Sivert Aarflot-Museet, Brudavolltunet, Norsk Møbelfaglig Senter, Sykkylven Naturhistoriske Museum, Ytste Skotet, Dalsfjord Fyrmuseum og Landbruksmuseet for Møre og Romsdal.
"
"04/12/2017 - 14:20","18/10/2023 - 09:38","Baronen bowling","Ålesund","finnerikke@finnerikke.no","Bowling","✔","


baronbowling.jpg

      



 
Halv pris for TL alle dager.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","23/06/2025 - 10:22","Løvenvold kino","Ålesund","Beathe.breivik@nordiskfilm.com","","✖","20 kroner rabatt på alle typer billetter for TL.
"
"04/12/2017 - 14:20","07/02/2025 - 10:30","Eikerapen alpinsenter","Åseral"," odd.hallvard@kjellby.com","Skitrekk","✖","


eikerapen_alpinsenter.jpg

      



2 for 1 tilbud for TL og en venn/voksen. Tilbudet gjelder dagskort. Det er kun åpent om lørdager og søndager foruten i romjulen, vinterferien og påskeferien.
"
"04/12/2017 - 14:20","04/07/2025 - 08:57","Aukrustsenteret","Alvdal","","Museum","✔","


aukrustsenteret.png

      



 
Gratis inngang for TL ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","04/07/2025 - 11:46","Romerike Golfklubb","Aurskog-Høland","","Golf","✔","


romerike_golfklubb.jpg

      



 
Gratis golfkurs og gratis utlån av køller.
Husk gyldig kulturkort.
"
"04/12/2017 - 14:20","28/04/2022 - 12:23","Askim kinoteater","Indre Østfold kommune","","Kino","✖","


norsk_film_kino.png

      



10 kroner i rabatt på ordinære billettpriser for TL og en venn/voksen.
"
"04/12/2017 - 14:20","11/06/2025 - 15:04","Askim rideklubb","Indre Østfold kommune","styret@askimrideklubb.no","Riding","✖","


askimrideklubb.jpg

      



10% rabatt på ridekurs for TL. Vanligvis 10 kurs.
"
"04/12/2017 - 14:20","24/03/2026 - 11:51","Risenga svømmehall ","Asker","askerbadene@asker.kommune.no","Bad","✔","


risengabad.png

      



Kom to, betal for én. Tilbudet gjelder kun for enkeltbilletter for barn, mandag til fredag.
Husk å ta med gyldig og utfylt kulturkort. 
"
"04/12/2017 - 14:20","21/11/2024 - 10:44","Dynamic Events","Asker","post@dynamicevents.no","Aktivitetssenter","✔","


dynamicevents.jpg

      



Søndag - torsdag. Femkamp og paintball: TL spiller gratis. Minst 6 personer per spill. Maks en tredjedel av disse kan være gratis TL. (Paintball: Minst 12 år, med underskrift fra foreldre. Grunnpakken.) (Femkamp: Minst 10 år.)
"
"04/12/2017 - 14:20","21/11/2024 - 10:44","Asker fotball","Asker","post@askerfotball.no","","✔","


askerfotball.png

      



Gratis adgang når det er ledige plasser på kampdag. Billetter kan hentes i kiosken på Føyka stadion.
"
"04/12/2017 - 14:20","21/11/2024 - 10:43","Asker Aliens","Asker","post@askeraliens.com","","✔","


asker_aliens.jpg

      



Gratis adgang når det er ledige plasser på kampdag.
"
"04/12/2017 - 14:20","21/10/2025 - 12:35","Bamble golfklubb","Bamble","","","✖","


bamble-glfklubb.png

      



Bamble golfklubb gir TL gratis utlån av køller og en gratis kurv med baller til driving rangen. Halv pris på nybegynnerkurs.
Husk å ta med gyldig kulturkort. 
"
"04/12/2017 - 14:20","01/10/2025 - 14:31","Berger svømmehall, Nadderudhallen og Hundsund bad","Bærum","veiledningstorget@baerum.kommune.no","Bading","✔","


bergersvaemmehall.jpg

      






pho_1825.jpg

      






hundsundbad.png

      



 
Halv pris for trivselsleder ved fremvisning av gyldig og utfylt kulturkort.
"
"04/12/2017 - 14:20","01/10/2025 - 14:30","Bajazz balettstudio","Bærum","","Dansing","✖","


bajazz.png

      



Gratis workshop 'grunntrinn i break / hiphop' for TL. Mail til vibeke@bajazz.no, interesserte samles 2 timer en lørdag.
"
"04/12/2017 - 14:20","21/11/2024 - 10:45","Kirkerudbakken","Bærum","kirkerudbakkenskisenter@gmail.com","","✖","20 % rabatt på dags- eller kveldskort for TL hele året. Husk keycard. Gjelder sesong 17/18.
"
"04/12/2017 - 14:20","01/10/2025 - 14:31","Bærum golfklubb","Bærum","","Golf","✖","


baerumgolf.jpg

      



Gratis spill for TL på korthullsbanen. Halv pris for resten av gruppen som er med (minimum én må være kyndig spiller).
"
"04/12/2017 - 14:20","04/07/2025 - 09:02","Haslum HK","Bærum","","Håndball","✔","
 
Gatis adgang for TL og én venn (barn / voksen), ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","03/07/2025 - 14:25","Stabæk håndball","Bærum","","Håndball","✔","
 
Gratis adgang for TL og 1 venn (barn / voksen), ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","03/10/2024 - 17:47","Høyt & Lavt Bø","Bø","olav@hoytlavt.no","Klatrepark","✔","


bo_i_telemark.png

      



 
25% rabatt på inngangsbillett for Trivselsleder ved bestilling på nett. Benytt koden TLHL25.
Gyldig TL-kort Fremvises ved ankomst.
"
"04/12/2017 - 14:20","03/10/2024 - 17:18","Gullbringbadet","Bø","post@gullbring.no","Bading","✖","


gullbring.png

      



Badeanlegget: Kom to, betal for én' for TL.
"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Sniper paintball","Drammen","booking@sniper.no","Paintball","✔","


sniperpaintball.jpg

      



 
33 % rabatt på inngang på åpen dag onsdager for TL.
Husk å ta med gyldig kulturkort.
"
"04/12/2017 - 14:20","05/08/2025 - 13:11","Drammen golfbane","Drammen","post@drammen.golf","Golf","✖","


drammen_golf.jpg

      



 
Ett gratis ballkort (10 bøtter) på driving range, samt gratis utlån av køller. Opplegg for klasseaktiviteter etter avtale.
"
"04/12/2017 - 14:20","02/09/2024 - 16:26","Drammen HK","Drammen","dhk@dhk.no","Håndball","✔","
 
Gratis inngang for TL, ved fremvisning av gyldig kulturkort.
"
"04/12/2017 - 14:20","15/04/2026 - 11:40","Drammensbadet","Drammen","krisina.vinda@drammensbadet.no","Bading","✔","


drammensbadet.png

      



 
Drammensbadet gir trivselsledere 2 for 1 på inngang om de kommer med en venn/et søsken (gjelder ikke voksne fra 18 år).
Kommer de uten en venn/et søsken, får trivselsleder 50% rabatt på inngang. 
 
Alle må være 12 år (fylle 12 år samme år) og være svømmedyktig for å bade uten voksen/foresatt på 18 år eller eldre. Barn under 12 år må ha med seg en voksen badende. 
Forøvrig gjelder ordinære trivselsregler og all bading skjer på eget ansvar.
 
Gyldig og utfylt Kulturkort må fremvises.
Avtalen gjelder i skoleåret 25/26, fra 18.08.2025 - 19.06.2026, og i alle skoleferier - unntatt sommerferien. 
"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Lekeland Drammen","Drammen","leke@lekelanddrammen.no","Lekeland","✔","


lekelanddrammen.jpg

      



 
30% rabatt på inngang for TL, ved fremvisning av gyldig kulturkort.
"
