"Innleggsdato","Oppdatert","Tittel","Kommune","Epost kontaktperson","Type fordel","Published status","",""
"04/12/2017 - 14:20","18/10/2023 - 09:38","Barneteateret vårt/teateret vårt","Molde","post@teatretvart.n","Teater","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2023 - 09:15","Moldebadet","Molde","lina.bjork@molde.kommune.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 10:25","Molde golfklubb","Molde","post@moldegolf.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","23/01/2020 - 09:19","Os turn","Bjørnafjorden kommune","post@osturn.no","","✔","rediger","slett"
"04/12/2017 - 14:20","27/01/2022 - 11:05","Bjørnefjorden golfklubb","Bjørnafjorden kommune","post@bjgk.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","23/01/2020 - 09:19","ER-AN Auto","Bjørnafjorden kommune","kontakt@eranauto.no","","✔","rediger","slett"
"04/12/2017 - 14:20","23/01/2020 - 09:19","Osbadet","Bjørnafjorden kommune","torbjorg@osbadet.no","","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2021 - 13:18","Osterøy musem","Osterøy","osteroymuseum@muho.no","","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 14:45","Randaberg golfklubb","Randaberg","post@randaberg-golf.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:18","Randaberg fotball","Randaberg","","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","04/02/2026 - 10:29","Kongeparken","Randaberg","sunniva@kongeparken.no","Aktivitetspark","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:55","Risør akvarium","Risør","mail@risorakvarium.no","Opplevelsessenter","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:57","Risør svømmehall","Risør","post@risor.kommune.no ","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:24","Sandnes Ulf","Sandnes","","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","26/04/2022 - 17:18","Riskahallen svømmehall","Sandnes","riskahallen@sandnes.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 14:48","Sandvika Fellesbad","Sandnes","sfa@lyse.net","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 14:50","Vitenfabrikken","Sandnes","jaf@jaermuseet.no","Vitensenter","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 14:50","Vitengarden","Sandnes","helene.larsen@jaermuseet.no","Vitensenter","✔","rediger","slett"
"04/12/2017 - 14:20","16/02/2023 - 09:53","Stall Friheten","Sandnes","viacom@online.no","Riding","✖","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 14:44","Sandnes golfklubb","Sandnes","post@sandnesgolfklubb.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","04/02/2026 - 10:29","Kongeparken","Sandnes","sunniva@kongeparken.no","Aktivitetspark","✔","rediger","slett"
"04/12/2017 - 14:20","12/01/2022 - 08:33","Sauda skisenter","Sauda","anita@saudaskisenter.no","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","20/11/2024 - 10:28","Sirdal skisenter","Sirdal","tarjei@sirdalskisenter.no","Skitrekk","✖","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 12:58","Skodje Trialklubb","Ålesund","","Motorsport","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 10:23","Gomerhuset","Ålesund","","Trening","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:37","Smøla golfklubb","Smøla","post@smolagolfklubb.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","11/10/2023 - 13:56","Sogndal IL","Sogndal kommune","post@sogndalfotball.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","10/06/2025 - 13:57","Sogndal skisenter Hodlekve","Sogndal kommune","post@hodlekve.no","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 15:23","Dysjalandhallen, Solahallen, og Tananger svømmehall","Sola","","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 14:55","Sola golfklubb","Sola","andre@solagk.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","26/06/2025 - 12:55","Sola håndball","Sola","info@sola-hk.no","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","04/02/2026 - 10:29","Kongeparken","Sola","sunniva@kongeparken.no","Aktivitetspark","✔","rediger","slett"
"04/12/2017 - 14:20","26/11/2021 - 14:27","Sørmarka arena","Stavanger","post@folkehallene.no","","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 11:06","Norsk oljemuseum","Stavanger","post@norskolje.museum.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","12/06/2024 - 14:26","Stavanger golfklubb","Stavanger","post@sgk.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 15:00","Rogaland teater","Stavanger","kirsti@rogaland-teater.no","Teater","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:11","Viking FK","Stavanger","","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 10:07","Viking håndball","Stavanger","","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","26/11/2021 - 14:25","Stavanger Oilers","Stavanger","anncathrin@oilers.no","Ishockey","✔","rediger","slett"
"04/12/2017 - 14:20","26/11/2021 - 13:06","Museum Stavanger","Stavanger","siri.aavitsland@museumstavanger.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","04/02/2026 - 10:28","Kongeparken","Stavanger","sunniva@kongeparken.no","Aktivitetspark","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Stord fotball","Stord","post@stordfotball.no","","✔","rediger","slett"
"04/12/2017 - 14:20","21/01/2020 - 17:44","Stord IL håndball","Stord","post@handballfestivalen.no","","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 08:47","Bowl IT","Stord","","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 10:37","Stord minigolf","Stord","","","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 15:02","Strand kino","Strand","roger.nybroen@strand.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","08/12/2021 - 08:49","Stryn symjehall","Stryn","kare.bruvoll.alme@stryn.kommune.no","","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 10:23","Langevåg basseng","Sula","lrk@xi.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 10:26","Indre Sula fysio & velvære","Sula","sean@indresulafysio.no","Trening","✔","rediger","slett"
"04/12/2017 - 14:20","11/10/2023 - 11:57","Vikse paintball","Sveio","post@viksepaintball.no","Paintball","✔","rediger","slett"
"04/12/2017 - 14:20","11/10/2023 - 12:00","Tjernagel Leir og Fritidssenter","Sveio","finnerikke@finnerikke.no","Riding","✔","rediger","slett"
"04/12/2017 - 14:20","15/12/2021 - 10:09","Stiftinga Sunnmøre museum","Sykkylven","ragna.dahl.gronnevet@mimer.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:35","Sykkylven kino","Sykkylven","finnerikke@finnerikke.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 10:33","Velledalen symjehall","Sykkylven","","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 08:30","Stadion bowling","Time","post@stadion-bowling.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","02/12/2021 - 11:59","Bryne FK","Time","post@brynefk.no","","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 13:58","Garborgmuseet","Time","garborg@jaermuseet.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","04/02/2026 - 10:29","Kongeparken","Time","sunniva@kongeparken.no","Aktivitetspark","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 15:11","Tvedestrand Fritidsklubb","Tvedestrand","","Fritidsklubb","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:53","Lyngmyr svømmehall","Tvedestrand","post@ttif.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:41","Jernverksmuseet","Tvedestrand","kba@jernverksmuseet.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:59","Solberg gruve","Tvedestrand","kba@jernverksmuseet.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","24/04/2023 - 14:59","Haugaland håndball","Tysvær","post@h-hk.no","Håndball","✖","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 12:34","Tysvær kino","Tysvær","","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","10/10/2023 - 15:06","Tysværtunet badeanlegg","Tysvær","oystein.simonsen@tysver.kommune.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","24/04/2023 - 10:47","Avanti Fritidsklubb","Tysvær","mario.saetre@tysver.kommune.no","","✖","rediger","slett"
"04/12/2017 - 14:20","24/10/2023 - 14:36","Sjøborg kulturhus","Ulstein","sjoborg@ulstein.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:26","IL Hødd Fotball","Ulstein","gardshol@hodd.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:27","Ulstein bowling","Ulstein","kontakt@ulsteinbowling.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","20/11/2024 - 09:28","Agder paintball","Vennesla","post@agderpaintball.no","Paintball","✖","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:18","Moonlight ungdomsklubb","Vennesla","post@vennesla.kommune.no","Fritidsklubb","✖","rediger","slett"
"04/12/2017 - 14:20","03/02/2025 - 11:57","Vennesla svømmehall","Vennesla","Steinar.Green@vennesla.kommune.no","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 10:22","Vest-Agder-Museet","Vennesla"," j.olsen@vestagdermuseet.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 12:22","Varmebassenget Myra kulturbygg og svømmehallen Tomrefjord","Vestnes","","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:24","Tomrefjord kino","Vestnes","post@tomrefjordkino.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:23","Ørskogfjell skisenter","Vestnes","orskogfjell.skilag@gmail.com","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","26/10/2023 - 08:40","Vestnes bueskytterklubb","Vestnes","vestnes@bueklubb.no","Aktivitetssenter","✔","rediger","slett"
"04/12/2017 - 14:20","15/12/2021 - 10:08","Stiftinga Sunnmøre museum","Volda","ragna.dahl.gronnevet@mimer.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 08:45","Volda golfklubb","Volda","finnerikke@finnerikke.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:34","Volda skisenter","Volda","post@voldaskisenter.no","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","16/12/2025 - 12:03","Voss Active","Voss herad","post@vossactive.no","Klatrepark","✔","rediger","slett"
"04/12/2017 - 14:20","17/02/2026 - 11:08","Voss Resort","Voss herad","anna@vossresort.no","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 10:20","Atlanterhavsparken","Ålesund","","","✖","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:49","Moa svømmehall","Ålesund","endre.helgaa@alesund.kommune.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:43","Stiftinga Sunnmøre museum","Ålesund","ragna.dahl.gronnevet@mimer.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","18/10/2023 - 09:38","Baronen bowling","Ålesund","finnerikke@finnerikke.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 10:22","Løvenvold kino","Ålesund","Beathe.breivik@nordiskfilm.com","","✖","rediger","slett"
"04/12/2017 - 14:20","07/02/2025 - 10:30","Eikerapen alpinsenter","Åseral"," odd.hallvard@kjellby.com","Skitrekk","✖","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 08:57","Aukrustsenteret","Alvdal","","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 11:46","Romerike Golfklubb","Aurskog-Høland","","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","28/04/2022 - 12:23","Askim kinoteater","Indre Østfold kommune","","Kino","✖","rediger","slett"
"04/12/2017 - 14:20","11/06/2025 - 15:04","Askim rideklubb","Indre Østfold kommune","styret@askimrideklubb.no","Riding","✖","rediger","slett"
"04/12/2017 - 14:20","24/03/2026 - 11:51","Risenga svømmehall ","Asker","askerbadene@asker.kommune.no","Bad","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 10:44","Dynamic Events","Asker","post@dynamicevents.no","Aktivitetssenter","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 10:44","Asker fotball","Asker","post@askerfotball.no","","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 10:43","Asker Aliens","Asker","post@askeraliens.com","","✔","rediger","slett"
"04/12/2017 - 14:20","21/10/2025 - 12:35","Bamble golfklubb","Bamble","","","✖","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:31","Berger svømmehall, Nadderudhallen og Hundsund bad","Bærum","veiledningstorget@baerum.kommune.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:30","Bajazz balettstudio","Bærum","","Dansing","✖","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 10:45","Kirkerudbakken","Bærum","kirkerudbakkenskisenter@gmail.com","","✖","rediger","slett"
"04/12/2017 - 14:20","01/10/2025 - 14:31","Bærum golfklubb","Bærum","","Golf","✖","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:02","Haslum HK","Bærum","","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 14:25","Stabæk håndball","Bærum","","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","03/10/2024 - 17:47","Høyt & Lavt Bø","Bø","olav@hoytlavt.no","Klatrepark","✔","rediger","slett"
"04/12/2017 - 14:20","03/10/2024 - 17:18","Gullbringbadet","Bø","post@gullbring.no","Bading","✖","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Sniper paintball","Drammen","booking@sniper.no","Paintball","✔","rediger","slett"
"04/12/2017 - 14:20","05/08/2025 - 13:11","Drammen golfbane","Drammen","post@drammen.golf","Golf","✖","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:26","Drammen HK","Drammen","dhk@dhk.no","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","15/04/2026 - 11:40","Drammensbadet","Drammen","krisina.vinda@drammensbadet.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Lekeland Drammen","Drammen","leke@lekelanddrammen.no","Lekeland","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:21","Bowling1 Drammen","Drammen","drammen@bowling1.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 12:11","Drammen kino city","Drammen","","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Kjekstad golfklubb","Drammen","vl@launy.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 12:41","Råholt bad","Eidsvoll","","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 10:47","Eidsvoll 1814","Eidsvoll","kontor@eidsvoll1814.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 14:02","Eidskog paintball","Eidskog","bjvester@hotmail.com","Paintball","✔","rediger","slett"
"04/12/2017 - 14:20","02/04/2024 - 14:32","Elverum kino","Elverum","mette.kynsveen@elverum.kommune.no","Kino","✖","rediger","slett"
"04/12/2017 - 14:20","03/04/2024 - 10:07","Bowling1 Elverum","Elverum","elverum@bowling1.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","03/04/2024 - 10:34","Elverum svømmehall","Elverum","elverum.svommehall@elverum.kommune.no","Svømming","✖","rediger","slett"
"04/12/2017 - 14:20","03/04/2024 - 10:51","Elverum rideklubb","Elverum","elverum-rideklubb@hotmail.com","Riding","✖","rediger","slett"
"04/12/2017 - 14:20","03/04/2024 - 11:05","Norsk skogmuseum","Elverum","skogmus@annomuseum.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 15:06","Terningen event","Elverum","post@terningen.no","","✖","rediger","slett"
"04/12/2017 - 14:20","02/04/2024 - 09:33","Fredrikstad FK","Fredrikstad","NS@fredrikstadfk.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","11/11/2024 - 13:41","Fredrikstad BK","Fredrikstad","fbk@fredrikstadbk.no","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2023 - 13:52","Stjernen","Fredrikstad","kontoret@stjernen.no","Ishockey","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2023 - 13:51","Onsøy golfklubb","Fredrikstad","lpb@onsoygk.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2023 - 13:45","Elingaardskilen FotballGolf","Fredrikstad","arne.huseby@hgo.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2023 - 13:47","Fredrikstad kino","Fredrikstad","kino@fredrikstad.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","02/11/2023 - 13:50","Kongsten bowling","Fredrikstad","hildefg@live.no","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:01","Follo museum","Frogn","follo.museum@mia.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:01","Studio Dynamica","Frogn","post@studiodynamica.no","Dansing","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:00","Drøbak kino","Frogn","kino@frogn.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 12:40","Drøbak golf","Frogn","jens@drobakgolf.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","03/07/2025 - 12:29","Kniplia skisenter","Gjerdrum","","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 14:34","Ballettskole svanesjøen","Gjøvik","ballettskole@svanesjoen.no","Ballett","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Hallingkast bowlingklubb","Gol","hekri.setra@hotmail.com","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Tropicana badeland","Gol","pers@pers.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Gol motor & fritidspark","Gol","info@golmotorpark.no","Motorsport","✔","rediger","slett"
"04/12/2017 - 14:20","04/02/2026 - 16:22","Gol skipark Skagahøgdi","Gol","info@skagahogdi.no","Skitrekk","✖","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 14:32","Brandbu kino","Gran","post@brandbukino.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","24/10/2023 - 09:14","Gran folkebad","Gran","postmottak@gran.kommune.no ","Svømming","✔","rediger","slett"
"04/12/2017 - 14:20","26/10/2023 - 17:00","Remmen svømmehall","Halden","postmottak@halden.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 14:37","Hamkam","Hamar","post@hamkam.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","07/02/2025 - 09:23","Mjøsa klatresenter v/Espern aktivitetspark","Hamar","an-magritt@espern.no","Klatring","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 14:10","Storhamar Hockey","Hamar","hockey@sil.no","Hockey","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 14:37","Ankerskogen svømmehall","Hamar","post@ankerskogen.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","30/04/2025 - 10:39","Lucky Bowl","Hamar","","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Bowl and dine","Hol","bowlanddine@drholms.com","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:24","Ringeriksbadet","Hole","post@ringeriksbadet.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 12:55","Tyrifjord golfklubb","Hole","post@tyrifjord-golfklubb.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:34","Horten svømmehall ","Horten","kim.jensen@horten.kommune.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","16/06/2025 - 09:01","Falk Håndball","Horten","linn.fagerberg@falk-handball.no","Håndball","✖","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 09:12","Ørn Horten","Horten","","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:28","Kongsberg Skisenter","Kongsberg","kontor@kongsberg-skisenter.no","Skitrekk","✖","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:24","Kongsberg Golfklubb","Kongsberg","kontor@kongsberg-golfbane.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:27","Kongsberg Gokart","Kongsberg","eilev@sigdalgokart.no","Gokarting","✖","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:27","Sigdal Gokart","Kongsberg","glenn@foss1.com","Gokarting","✖","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:24","Kongsberg svømmehall","Kongsberg","postmottak@kongsberg.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","08/12/2021 - 09:57","Bowling1 Kongsvinger","Kongsvinger","kongsvinger@bowling1.no ","Bowling","✔","rediger","slett"
"04/12/2017 - 14:20","14/05/2025 - 09:09","KIL Kongsvinger IL","Kongsvinger","kilpost@kil.no","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:23","Lierhallen ","Lier","postmottak@lier.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:23","Valstad Gård","Lier","post@valstadgard.no","Riding","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:17","Fjellhammer håndball","Lørenskog","post@fjellhammer.no","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","28/08/2025 - 08:48","Lørenskog Ishockeyklubb","Lørenskog","","Ishockey","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:02","Kjenn bad","Lørenskog","kultur@lorenskog.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 12:49","MiA - Lørenskog bygdemuseum","Lørenskog","","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:02","Losbys 9-hullsbane","Lørenskog","info@losby.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 15:02","Norsk Skogmuseum","Løten","skogmus@annomuseum.no","Museum","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:33","Furumo svømmehall","Modum","furumo.svommehall@modum.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 22:07","Modum kino","Modum","christensen@modum.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","09/10/2025 - 10:07","Modum skisenter","Modum","gunnar.solhaug@monier.com","Skitrekk","✔","rediger","slett"
"04/12/2017 - 14:20","06/11/2023 - 11:51","Herulf Moss","Moss kommune","marked@herulf.no","Håndball","✔","rediger","slett"
"04/12/2017 - 14:20","06/11/2023 - 11:51","Mossehallen","Moss kommune","post@moss.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:18","Gardermoen Kulturpark","Nannestad","ullensaker.museum@mia.no","Kulturpark","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 10:15","Stall Vestenga","Nannestad","","Hest","✖","rediger","slett"
"04/12/2017 - 14:20","23/06/2025 - 10:25","Eknesbadet","Drammen","","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:26","Hokksund kommunale bad og svømmehall","Drammen","post@ovre-eiker.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:28","Vestfossen folkebad","Drammen","post@ovre-eiker.kommune.no","Bading","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:25","Mjøndalen","Drammen","billett@mif.no ","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","02/09/2024 - 16:26","Eiker Golfklubb","Drammen","post@eikergolf.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 10:33","Årnes Kino","Nes","","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:19","Nes Kino","Nes i Buskerud","postmottak@nes-bu.kommune.no","","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 10:42","Brattbakken","Nesodden","post@nesodden.kommune.no","","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:34","Nittedal golfklubb","Nittedal","postmottak@nittedal.kommune.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:33","Libadet ","Nittedal","folkebadet@nittedal.kommune.no","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","21/11/2024 - 11:34","Hauger Golfklubb","Nittedal","post@haugergolf.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","25/06/2024 - 09:16","Norsjø golfpark","Nome","post@golfparken.no","Golf","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:42","Nome Kino","Nome"," birte.nesteng@nome.kommune.no","Kino","✖","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 21:45","Teater","Nome","ulefoss.samfunnshus@nome.kommune.no","Teater","✖","rediger","slett"
"04/12/2017 - 14:20","27/02/2023 - 10:14","Valdres Alpinsenter","Nord-Aurdal","post@valdresalpin.no","Skitrekk","✖","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 14:46","Valdres Ride- og Kjøreklubb","Nord-Aurdal","finnerikke@finnerikke.no","Hest","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 13:58","Kvitvella Kino","Nord-Aurdal","Renate.Remme.Overseth@nord-aurdal.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 14:45","Valdres FK","Nord-Aurdal","philipstensaeter@gmail.com","Fotball","✔","rediger","slett"
"04/12/2017 - 14:20","12/09/2024 - 22:11","Kunja Taekwondoklubb","Nord-Odal","kunjatkd@gmail.com","Taekwondo","✔","rediger","slett"
"04/12/2017 - 14:20","17/10/2023 - 14:28","Sentrum kino","Nordre Land","postmottak@nordre-land.kommune.no","Kino","✔","rediger","slett"
"04/12/2017 - 14:20","23/10/2023 - 10:08","Dresin AS","Nordre Land","post@veggli-vertshus.no","Opplevelse","✔","rediger","slett"
"04/12/2017 - 14:20","04/07/2025 - 07:51","Sofiemyr svømmehall","Nordre Follo kommune","","Svømmehall","✔","rediger","slett"
"04/12/2017 - 14:20","23/02/2024 - 09:47","Oslo Reptilpark","Oslo","kontakt@reptilpark.no","Museum","✔","rediger","slett"
