vaar_tekst,bunke,udir_kode,udir_uri,udir_bokmaal,udir_nynorsk,likhetsskaar,duplikat_av,c_grunn
"Bruke fagspråk om setningsoppbygning og bøying av verb, substantiv og adjektiv i samtaler om språk og om egne og andres tekster.",A,KM14159,http://psi.udir.no/kl06/KM14159,"bruke fagspråk om setningsoppbygning og bøying av verb, substantiv og adjektiv i samtaler om språk og om egne og andres tekster","bruke fagspråk om setningsoppbygging og bøying av verb, substantiv og adjektiv i samtalar om språk og om eigne og andre sine tekstar",1.000,,
"Skrive tekster med tydelig struktur og mestre sentrale regler for rettskriving, ordbøying og tegnsetting.",A,KM14172,http://psi.udir.no/kl06/KM14172,"skrive tekster med tydelig struktur og mestre sentrale regler for rettskriving, ordbøying og tegnsetting","skrive tekstar med tydeleg struktur og meistre sentrale reglar for rettskriving, ordbøying og teiknsetjing",1.000,,
"Beskrive likskap og ulikskap i samanlikning av storleikar, mengder, uttrykk og tal og bruke likskaps- og ulikskapsteikn.",D,,,,,0.610,,
"Presentere årsaker til at samane har urfolksstatus i Noreg, og beskrive forskjellige former for samisk kultur- og samfunnsliv før og no.",A,KM14671,http://psi.udir.no/kl06/KM14671,"presentere årsaker til at samene har urfolksstatus i Norge, og beskrive forskjellige former for samisk kultur- og samfunnsliv før og nå","presentere årsaker til at samane har urfolksstatus i Noreg, og beskrive forskjellige former for samisk kultur- og samfunnsliv før og no",1.000,,
Utforske hovudtrekk ved historia til samane og dei nasjonale minoritetane i Noreg og presentere rettar samane og dei nasjonale minoritetane i Noreg har i dag.,A,KM14690,http://psi.udir.no/kl06/KM14690,utforske hovedtrekk ved historien til samene og de nasjonale minoritetene i Norge og presentere rettigheter samene og de nasjonale minoritetene i Norge har i dag,utforske hovudtrekk ved historia til samane og dei nasjonale minoritetane i Noreg og presentere rettar samane og dei nasjonale minoritetane i Noreg har i dag,1.000,,
Samtale om og presentere sentrale fortellinger og trosforestillinger i østlige og vestlige religiøse tradisjoner.,A,KM14598,http://psi.udir.no/kl06/KM14598,samtale om og presentere sentrale fortellinger og trosforestillinger i østlige og vestlige religiøse tradisjoner,samtale om og presentere sentrale forteljingar og trusførestillingar i austlege og vestlege religiøse tradisjonar,1.000,,
Skille mellom ulike kilder til kunnskap om religioner og livssyn.,A,KM14589,http://psi.udir.no/kl06/KM14589,skille mellom ulike kilder til kunnskap om religioner og livssyn,skilje mellom ulike kjelder til kunnskap om religionar og livssyn,1.000,,
Beskrive og presentere noen sentrale rituelle praksiser og etiske normer fra østlige og vestlige religioner og livssynstradisjoner.,A,KM14609,http://psi.udir.no/kl06/KM14609,beskrive og presentere noen sentrale rituelle praksiser og etiske normer fra østlige og vestlige religioner og livssynstradisjoner,beskrive og presentere nokre sentrale rituelle praksisar og etiske normer frå austlege og vestlege religionar og livssynstradisjonar,1.000,,
"Samtale om hva energi er, og utforske ulike energikjeder.",A,KM13824,http://psi.udir.no/kl06/KM13824,"samtale om hva energi er, og utforske ulike energikjeder","samtale om kva energi er, og utforske ulike energikjeder",1.000,,
"Stille spørsmål og lage hypoteser om naturfaglige fenomener, identifisere avhengige og uavhengige variabler og samle data for å finne svar.",A,KM13854,http://psi.udir.no/kl06/KM13854,"stille spørsmål og lage hypoteser om naturfaglige fenomener, identifisere avhengige og uavhengige variabler og samle data for å finne svar","stille spørsmål og lage hypotesar om naturfaglege fenomen, identifisere avhengige og uavhengige variablar og samle data for å finne svar",1.000,,
Etter 8. trinn,C,,,,,,,trinn-overskrift
Beskrive og generalisere mønster med eigne ord og algebraisk.,D,,,,,0.748,,
Etter 9. trinn,C,,,,,,,trinn-overskrift
"Lese og forstå betydningen av kjente og ukjente ord, fraser og setninger ut fra sammenhengen i selvvalgte tekster.",A,KM13348,http://psi.udir.no/kl06/KM13348,"lese og forstå betydningen av kjente og ukjente ord, fraser og setninger ut fra sammenhengen i selvvalgte tekster","lese og forstå betydninga av kjende og ukjende ord, frasar og setningar ut frå samanhengen i sjølvvalde tekstar",1.000,,
"Lese og lytte til fortellinger, eventyr, sangtekster, faktabøker og andre tekster på bokmål og nynorsk og i oversettelse fra samiske og andre språk, og samtale om hva tekstene betyr for eleven.",A,KM14153,http://psi.udir.no/kl06/KM14153,"lese og lytte til fortellinger, eventyr, sangtekster, faktabøker og andre tekster på bokmål og nynorsk og i oversettelse fra samiske og andre språk, og samtale om hva tekstene betyr for eleven","lese og lytte til forteljingar, eventyr, songtekstar, faktabøker og andre tekstar på bokmål og nynorsk og i omsetjing frå samiske og andre språk, og samtale om kva tekstane betyr for eleven",1.000,,
"Lese lyrikk, noveller, fagtekster og annen skjønnlitteratur og sakprosa på bokmål og nynorsk, svensk og dansk og samtale om formål, form og innhold.",A,KM14176,http://psi.udir.no/kl06/KM14176,"lese lyrikk, noveller, fagtekster og annen skjønnlitteratur og sakprosa på bokmål og nynorsk, svensk og dansk og samtale om formål, form og innhold","lese lyrikk, noveller, fagtekstar og annan skjønnlitteratur og sakprosa på bokmål og nynorsk, svensk og dansk og samtale om formål, form og innhald",1.000,,
Aktiviteten dekker flere kompetansemål knyttet til ulike tema.,D,,,,,0.477,,
"Beskrive kultur- og naturlandskap i Noreg og samtale om korleis historiske og geografiske kjelder, inkludert kart, kan gi informasjon om landskap.",A,KM14672,http://psi.udir.no/kl06/KM14672,"beskrive kultur- og naturlandskap i Norge og samtale om hvordan historiske og geografiske kilder, inkludert kart, kan gi informasjon om landskap","beskrive kultur- og naturlandskap i Noreg og samtale om korleis historiske og geografiske kjelder, inkludert kart, kan gi informasjon om landskap",1.000,,
Eksperimentere med og forklare plasseringar i koordinatsystemet.,B,KM13251,http://psi.udir.no/kl06/KM13251,"eksperimentere med, navngi og plassere punkter i koordinatsystemet","eksperimentere med, namngi og plassere punkt i koordinatsystemet",0.797,,
Beskrive og fortelle muntlig og skriftlig.,A,KM14143,http://psi.udir.no/kl06/KM14143,beskrive og fortelle muntlig og skriftlig,beskrive og fortelje munnleg og skriftleg,1.000,,
Lese tekster med flyt og forståelse og bruke lesestrategier målrettet for å lære.,A,KM14164,http://psi.udir.no/kl06/KM14164,lese tekster med flyt og forståelse og bruke lesestrategier målrettet for å lære,lese tekstar med flyt og forståing og bruke lesestrategiar målretta for å lære,1.000,,
Bruke lesestrategier tilpasset formålet med lesingen.,A,KM14185,http://psi.udir.no/kl06/KM14185,bruke lesestrategier tilpasset formålet med lesingen,bruke lesestrategiar tilpassa formålet med lesinga,1.000,,
"Lage og forklare rekneuttrykk med tal, variablar og konstantar knytte til praktiske situasjonar.",A,KM13301,http://psi.udir.no/kl06/KM13301,"lage og forklare regneuttrykk med tall, variabler og konstanter knyttet til praktiske situasjoner","lage og forklare rekneuttrykk med tal, variablar og konstantar knytte til praktiske situasjonar",1.000,,
Utforske og argumentere for korleis framstillingar av tal og data kan brukast for å fremje ulike synspunkt.,B,KM13314,http://psi.udir.no/kl06/KM13314,sammenligne og argumentere for hvordan framstillinger av tall og data kan brukes for å fremme ulike synspunkter,samanlikne og argumentere for korleis framstillingar av tal og data kan brukast for å fremje ulike synspunkt,0.944,,
Bruke potensar og kvadratrøter i utforsking og problemløysing og argumentere for framgangsmåtar og resultat.,D,,,,,0.689,,
Utvikle og kommunisere strategiar for hovudrekning i utrekningar.,D,,,,,0.576,,
Utforske og beskrive primtalsfaktorisering og bruke det i brøkrekning.,B,KM13298,http://psi.udir.no/kl06/KM13298,beskrive og utforske faktorisering og primtallsfaktorisering og bruke det i brøkregning,beskrive og utforske faktorisering og primtalsfaktorisering og bruke det i brøkrekning,0.774,,
Utforske algebraiske reknereglar.,D,,,,,0.583,,
"Beskrive, forklare og presentere strukturar og utviklingar i geometriske mønster og i talmønster.",D,,,,,0.553,,
"Modellere situasjonar knytte til reelle datasett, presentere resultata og argumentere for at modellane er gyldige.",D,,,,,0.705,,
"Lage, løyse og forklare likningar knytte til praktiske situasjonar.",B,KM13324,http://psi.udir.no/kl06/KM13324,"lage, løse og forklare ligningssett knyttet til praktiske situasjoner","lage, løyse og forklare likningssett knytte til praktiske situasjonar",0.947,,
Utforske og argumentere for formlar for areal og volum av tredimensjonale figurar.,B,KM13310,http://psi.udir.no/kl06/KM13310,bruke og argumentere for formler for overflateareal og volum av tredimensjonale figurer,bruke og argumentere for formlar for overflateareal og volum av tredimensjonale figurar,0.905,,
Beskrive trekk ved det politiske systemet og velferdssamfunnet i Noreg i dag og reflektere over sentrale utfordringar.,A,KM14716,http://psi.udir.no/kl06/KM14716,beskrive trekk ved det politiske systemet og velferdssamfunnet i Norge i dag og reflektere over sentrale utfordringer,beskrive trekk ved det politiske systemet og velferdssamfunnet i Noreg i dag og reflektere over sentrale utfordringar,1.000,,
Sammenligne celler hos ulike organismer og beskrive sammenhenger mellom oppbygning og funksjon.,A,KM13867,http://psi.udir.no/kl06/KM13867,sammenligne celler hos ulike organismer og beskrive sammenhenger mellom oppbygning og funksjon,samanlikne celler hos ulike organismar og beskrive samanhengar mellom oppbygging og funksjon,1.000,,
Drøfte spørsmål knyttet til seksuell og reproduktiv helse.,A,KM13872,http://psi.udir.no/kl06/KM13872,drøfte spørsmål knyttet til seksuell og reproduktiv helse,drøfte spørsmål knytte til seksuell og reproduktiv helse,1.000,,
Etter 10. trinn:,C,,,,,,,trinn-overskrift
Beskrive og reflektere over egen bruk av lesestrategier i lesing av skjønnlitteratur og sakprosa.,A,KM14201,http://psi.udir.no/kl06/KM14201,beskrive og reflektere over egen bruk av lesestrategier i lesing av skjønnlitteratur og sakprosa,beskrive og reflektere over eigen bruk av lesestrategiar i lesing av skjønnlitteratur og sakprosa,1.000,,
Uttrykke seg i ulike sjangre og eksperimentere med sjangre på kreative måter.,A,KM14187,http://psi.udir.no/kl06/KM14187,uttrykke seg i ulike sjangre og eksperimentere med sjangre på kreative måter,uttrykkje seg i ulike sjangrar og eksperimentere med sjangrar på kreative måtar,1.000,,
"Sammenligne og tolke romaner, noveller, lyrikk og andre tekster ut fra historisk kontekst og egen samtid.",A,KM14197,http://psi.udir.no/kl06/KM14197,"sammenligne og tolke romaner, noveller, lyrikk og andre tekster ut fra historisk kontekst og egen samtid","samanlikne og tolke romanar, noveller, lyrikk og andre tekstar ut frå historisk kontekst og eiga samtid",1.000,,
Gjenkjenne og bruke språklige virkemidler og retoriske appellformer.,A,KM14192,http://psi.udir.no/kl06/KM14192,gjenkjenne og bruke språklige virkemidler og retoriske appellformer,kjenne att og bruke språklege verkemiddel og retoriske appellformer,1.000,,
"Bruke fagspråk og argumentere saklig i diskusjoner, samtaler, muntlige presentasjoner og skriftlige framstillinger om norskfaglige og tverrfaglige temaer.",A,KM14186,http://psi.udir.no/kl06/KM14186,"bruke fagspråk og argumentere saklig i diskusjoner, samtaler, muntlige presentasjoner og skriftlige framstillinger om norskfaglige og tverrfaglige temaer","bruke fagspråk og argumentere sakleg i diskusjonar, samtalar, munnlege presentasjonar og skriftlege framstillingar om norskfaglege og tverrfaglege tema",1.000,,
"Bruke fagspråk og kunnskap om grammatikk, tekststruktur og sjanger i samtale om og bearbeiding av tekster.",A,KM14194,http://psi.udir.no/kl06/KM14194,"bruke fagspråk og kunnskap om grammatikk, tekststruktur og sjanger i samtale om og bearbeiding av tekster","bruke fagspråk og kunnskap om grammatikk, tekststruktur og sjanger i samtale om og vidare arbeid med tekstar",1.000,,
Skrive tekster med funksjonell tekstbinding og riktig tegnsetting og mestre rettskriving og ordbøying på hovedmål og sidemål.,A,KM14191,http://psi.udir.no/kl06/KM14191,skrive tekster med funksjonell tekstbinding og riktig tegnsetting og mestre rettskriving og ordbøying på hovedmål og sidemål,skrive tekstar med funksjonell tekstbinding og riktig teiknsetjing og meistre rettskriving og ordbøying på hovudmål og sidemål,1.000,,
Lytte til og lese tekster på svensk og dansk og gjøre rede for innhold og språklige trekk.,A,KM14200,http://psi.udir.no/kl06/KM14200,lytte til og lese tekster på svensk og dansk og gjøre rede for innhold og språklige trekk,lytte til og lese tekstar på svensk og dansk og gjere greie for innhald og språklege trekk,1.000,,
"Lese, diskutere og videreformidle innhold fra ulike typer tekster, inkludert selvvalgte tekster.",A,KM13377,http://psi.udir.no/kl06/KM13377,"lese, diskutere og videreformidle innhold fra ulike typer tekster, inkludert selvvalgte tekster","lese, diskutere og vidareformidle innhald frå ulike typar tekstar, inkludert sjølvvalde tekstar",1.000,,
"Bruke varierte strategier i språklæring, tekstskaping og kommunikasjon.",A,KM13374,http://psi.udir.no/kl06/KM13374,"bruke varierte strategier i språklæring, tekstskaping og kommunikasjon","bruke varierte strategiar i språklæring, tekstskaping og kommunikasjon",1.000,,
"Utforske og beskrive noen språklige likheter og ulikheter mellom engelsk og andre språk eleven kjenner til, og bruke dette i egen språklæring.",A,KM13376,http://psi.udir.no/kl06/KM13376,"utforske og beskrive noen språklige likheter og ulikheter mellom engelsk og andre språk eleven kjenner til, og bruke dette i egen språklæring","utforske og beskrive nokre språklege likskapar og ulikskapar mellom engelsk og andre språk eleven kjenner til, og bruke dette i eiga språklæring",1.000,,
Bruke sentrale mønstre for uttale i kommunikasjon.,A,KM13388,http://psi.udir.no/kl06/KM13388,bruke sentrale mønstre for uttale i kommunikasjon,bruke sentrale mønster for uttale i kommunikasjon,1.000,,
"Stille spørsmål og følge opp innspill i samtaler om ulike emner tilpasset ulike formål, mottakere og situasjoner.",A,KM13373,http://psi.udir.no/kl06/KM13373,"stille spørsmål og følge opp innspill i samtaler om ulike emner tilpasset ulike formål, mottakere og situasjoner","stille spørsmål og følgje opp innspel i samtalar om ulike emne tilpasse ulike formål, mottakarar og situasjonar",1.000,,
Lytte til og forstå ord og uttrykk i varianter av engelsk.,A,KM13371,http://psi.udir.no/kl06/KM13371,lytte til og forstå ord og uttrykk i varianter av engelsk,lytte til og forstå ord og uttrykk i variantar av engelsk,1.000,,
"Uttrykke seg med flyt og sammenheng med et variert ordforråd og idiomatiske uttrykk tilpasset formål, mottaker og situasjon.",A,KM13372,http://psi.udir.no/kl06/KM13372,"uttrykke seg med flyt og sammenheng med et variert ordforråd og idiomatiske uttrykk tilpasset formål, mottaker og situasjon","uttrykkje seg med flyt og samanheng med eit variert ordforråd og idiomatiske uttrykk tilpassa formål, mottakar og situasjon",1.000,,
"Følge regler for rettskriving, ordbøying, setningsstruktur og tekststruktur.",A,KM13375,http://psi.udir.no/kl06/KM13375,"følge regler for rettskriving, ordbøying, setningsstruktur og tekststruktur","følgje reglar for rettskriving, ordbøying, setningsstruktur og tekststruktur",1.000,,
Gjere greie for årsaker til og konsekvensar av sentrale historiske og notidige konfliktar og reflektere over om endringar av nokre føresetnader kunne ha hindra konfliktane.,A,KM14699,http://psi.udir.no/kl06/KM14699,gjøre rede for årsaker til og konsekvenser av sentrale historiske og nåtidige konflikter og reflektere over om endringer av noen forutsetninger kunne ha hindret konfliktene,gjere greie for årsaker til og konsekvensar av sentrale historiske og notidige konfliktar og reflektere over om endringar av nokre føresetnader kunne ha hindra konfliktane,1.000,,
"Utforske korleis teknologi har vore og framleis er ein endringsfaktor, og drøfte innverknaden teknologien har hatt og har på enkeltmenneske, samfunn og natur.",A,KM14702,http://psi.udir.no/kl06/KM14702,"utforske hvordan teknologi har vært og fremdeles er en endringsfaktor, og drøfte innvirkningen teknologien har hatt og har på enkeltmennesker, samfunn og natur","utforske korleis teknologi har vore og framleis er ein endringsfaktor, og drøfte innverknaden teknologien har hatt og har på enkeltmenneske, samfunn og natur",1.000,,
"Reflektere over likskapar og ulikskapar i identitetar, levesett og kulturuttrykk og drøfte moglegheiter og utfordringar ved mangfald.",A,KM14707,http://psi.udir.no/kl06/KM14707,"reflektere over likheter og ulikheter i identiteter, levesett og kulturuttrykk og drøfte muligheter og utfordringer ved mangfold","reflektere over likskapar og ulikskapar i identitetar, levesett og kulturuttrykk og drøfte moglegheiter og utfordringar ved mangfald",1.000,,
"Utforske og beskrive korleis menneske- og urfolksrettar og andre internasjonale avtalar og samarbeid har betydning for nasjonal politikk, livet til menneske, likestilling og likeverd.",A,KM14703,http://psi.udir.no/kl06/KM14703,"utforske og beskrive hvordan menneske- og urfolksrettigheter og andre internasjonale avtaler og samarbeid har betydning for nasjonal politikk, menneskers liv og likestilling og likeverd","utforske og beskrive korleis menneske- og urfolksrettar og andre internasjonale avtalar og samarbeid har betydning for nasjonal politikk, livet til menneske, likestilling og likeverd",1.000,,
"Samanlikne korleis politiske, geografiske og historiske forhold påverkar levekår, busetjingsmønster og demografi i forskjellige delar av verda i dag.",A,KM14704,http://psi.udir.no/kl06/KM14704,"sammenligne hvordan politiske, geografiske og historiske forhold påvirker levekår, bosettingsmønstre og demografi i forskjellige deler av verden i dag","samanlikne korleis politiske, geografiske og historiske forhold påverkar levekår, busetjingsmønster og demografi i forskjellige delar av verda i dag",1.000,,
"Beskrive sentrale lover, reglar og normer og drøfte kva konsekvensar brot på desse kan ha for den enkelte og for samfunnet på kort og lang sikt.",A,KM14715,http://psi.udir.no/kl06/KM14715,"beskrive sentrale lover, regler og normer og drøfte hvilke konsekvenser brudd på disse kan ha for den enkelte og for samfunnet på kort og lang sikt","beskrive sentrale lover, reglar og normer og drøfte kva konsekvensar brot på desse kan ha for den enkelte og for samfunnet på kort og lang sikt",1.000,,
"Vurdere korleis arbeid, inntekt og forbruk kan påverke personleg økonomi, levestandard og livskvalitet.",A,KM14710,http://psi.udir.no/kl06/KM14710,"vurdere hvordan arbeid, inntekt og forbruk kan påvirke personlig økonomi, levestandard og livskvalitet","vurdere korleis arbeid, inntekt og forbruk kan påverke personleg økonomi, levestandard og livskvalitet",1.000,,
"Reflektere over kva for aktørar som har makt i samfunnet i dag, og korleis desse grunngir standpunkta sine.",A,KM14712,http://psi.udir.no/kl06/KM14712,"reflektere over hvilke aktører som har makt i samfunnet i dag, og hvordan de begrunner standpunktene sine","reflektere over kva for aktørar som har makt i samfunnet i dag, og korleis desse grunngir standpunkta sine",1.000,,
"Beskrive ulike dimensjonar ved berekraftig utvikling og korleis dei påverkar kvarandre, og presentere tiltak for meir berekraftige samfunn.",A,KM14708,http://psi.udir.no/kl06/KM14708,"beskrive ulike dimensjoner ved bærekraftig utvikling og hvordan de påvirker hverandre, og presentere tiltak for mer bærekraftige samfunn","beskrive ulike dimensjonar ved berekraftig utvikling og korleis dei påverkar kvarandre, og presentere tiltak for meir berekraftige samfunn",1.000,,
"Utforske og beskrive levemåter, tenkesett, kommunikasjonsmønstre og mangfold i den engelskspråklige verden.",A,KM13387,http://psi.udir.no/kl06/KM13387,"utforske og beskrive levemåter, tenkesett, kommunikasjonsmønstre og mangfold i den engelskspråklige verden","utforske og beskrive levemåtar, tenkesett, kommunikasjonsmønster og mangfald i den engelskspråklege verda",1.000,,
"Skrive formelle og uformelle tekster, inkludert sammensatte, med struktur og sammenheng som beskriver, forteller og reflekterer tilpasset formål, mottaker og situasjon.",A,KM13382,http://psi.udir.no/kl06/KM13382,"skrive formelle og uformelle tekster, inkludert sammensatte, med struktur og sammenheng som beskriver, forteller og reflekterer tilpasset formål, mottaker og situasjon","skrive formelle og uformelle tekstar, inkludert samansette, med struktur og samanheng som beskriv, fortel og reflekterer, tilpassa formål, mottakar og situasjon",1.000,,
Beskrive og reflektere over rollen engelsk har i Norge og i verden.,A,KM13384,http://psi.udir.no/kl06/KM13384,beskrive og reflektere over rollen engelsk har i Norge og i verden,beskrive og reflektere over rolla engelsk har i Noreg og i verda,1.000,,
"Analysere og bruke innsamlede data til å lage forklaringer, drøfte forklaringene i lys av relevant teori og vurdere kvaliteten på egne og andres utforskinger.",A,KM13855,http://psi.udir.no/kl06/KM13855,"analysere og bruke innsamlede data til å lage forklaringer, drøfte forklaringene i lys av relevant teori og vurdere kvaliteten på egne og andres utforskinger","analysere og bruke innsamla data til å lage forklaringar, drøfte forklaringane i lys av relevant teori og vurdere kvaliteten på eigne og andre sine utforskingar",1.000,,
Utforske sammenhenger mellom abiotiske og biotiske faktorer i et økosystem og diskutere hvordan energi og materie omdannes i kretsløp.,A,KM13868,http://psi.udir.no/kl06/KM13868,utforske sammenhenger mellom abiotiske og biotiske faktorer i et økosystem og diskutere hvordan energi og materie omdannes i kretsløp,utforske samanhengar mellom abiotiske og biotiske faktorar i eit økosystem og diskutere korleis energi og materie blir omdanna i kretsløp,1.000,,
"Gjøre rede for energibevaring og energikvalitet og utforske ulike måter å omdanne, transportere og lagre energi på.",A,KM13864,http://psi.udir.no/kl06/KM13864,"gjøre rede for energibevaring og energikvalitet og utforske ulike måter å omdanne, transportere og lagre energi på","gjere greie for energibevaring og energikvalitet og utforske ulike måtar å omdanne, transportere og lagre energi på",1.000,,
Bruke atommodeller og periodesystemet til å gjøre rede for egenskaper til grunnstoffer og kjemiske forbindelser.,A,KM13862,http://psi.udir.no/kl06/KM13862,bruke atommodeller og periodesystemet til å gjøre rede for egenskaper til grunnstoffer og kjemiske forbindelser,bruke atommodellar og periodesystemet til å gjere greie for eigenskapar til grunnstoff og kjemiske samband,1.000,,
"Sammenligne nervesystemet og hormonsystemet og beskrive hvordan rusmidler, legemidler, miljøgifter og doping påvirker signalsystemene.",A,KM13873,http://psi.udir.no/kl06/KM13873,"sammenligne nervesystemet og hormonsystemet og beskrive hvordan rusmidler, legemidler, miljøgifter og doping påvirker signalsystemene","samanlikne nervesystemet og hormonsystemet og beskrive korleis rusmiddel, legemiddel, miljøgifter og doping påverkar signalsystema",1.000,,
Lytte til og utforske det engelske alfabetet og uttalemønstre i lek- og sangaktiviteter.,A,KM13331,http://psi.udir.no/kl06/KM13331,lytte til og utforske det engelske alfabetet og uttalemønstre i lek- og sangaktiviteter,lytte til og utforske det engelske alfabetet og uttalemønster i leik- og songaktivitetar,1.000,,
utforske og forklare sammenhenger mellom de fire regneartene og bruke sammenhengene hensiktsmessig i utregninger,D,,,,,0.553,,
Utvikle og bruke ulike strategiar for rekning med positive tal og brøk og forklare tenkjemåtane sine.,A,KM13268,http://psi.udir.no/kl06/KM13268,utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine,utvikle og bruke ulike strategiar for rekning med positive tal og brøk og forklare tenkjemåtane sine,1.000,utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine || Utvikle og bruke ulike strategier for regning med positive tall og brøk og forklare tenkemåtene sine.,
"Reflektere over hvordan teknologi kan løse utfordringer, skape muligheter og føre til nye dilemmaer",A,KM13840,http://psi.udir.no/kl06/KM13840,"reflektere over hvordan teknologi kan løse utfordringer, skape muligheter og føre til nye dilemmaer","reflektere over korleis teknologi kan løyse utfordringar, skape moglegheiter og føre til nye dilemma",1.000,"Reflektere over hvordan teknologi kan løse utfordringer, skape muligheter og føre til nye dilemmaer.",
"Utforske, forstå og lage teknologiske systemer som består av en sender og en mottaker",A,KM13859,http://psi.udir.no/kl06/KM13859,"utforske, forstå og lage teknologiske systemer som består av en sender og en mottaker","utforske, forstå og lage teknologiske system som består av ein sendar og ein mottakar",1.000,,
"Utforske, lage og programmere teknologiske systemer som består av deler som virker sammen",A,KM13838,http://psi.udir.no/kl06/KM13838,"utforske, lage og programmere teknologiske systemer som består av deler som virker sammen","utforske, lage og programmere teknologiske system som består av delar som verkar saman",1.000,,
Utforske språklig variasjon og mangfold i Norge og reflektere over holdninger til ulike språk og talespråkvarianter,A,KM14196,http://psi.udir.no/kl06/KM14196,utforske språklig variasjon og mangfold i Norge og reflektere over holdninger til ulike språk og talespråkvarianter,utforske språkleg variasjon og mangfald i Noreg og reflektere over haldningar til ulike språk og talespråkvariantar,1.000,Utforske språklig variasjon og mangfold i Norge og reflektere over holdninger til ulike språk og talespråkvarianter.,
Forklare den historiske bakgrunnen for bokmål og nynorsk og reflektere over statusen til de offisielle språkene i Norge i dag,A,KM14195,http://psi.udir.no/kl06/KM14195,forklare den historiske bakgrunnen for bokmål og nynorsk og reflektere over statusen til de offisielle språkene i Norge i dag,forklare den historiske bakgrunnen for bokmål og nynorsk og reflektere over statusen til dei offisielle språka i Noreg i dag,1.000,,
Lage og løyse problem som omhandlar samansette måleiningar.,B,KM13316,http://psi.udir.no/kl06/KM13316,lage og løse problemer som handler om sammensatte måleenheter,lage og løyse problem som handlar om samansette måleiningar,0.957,,
Finne og diskutere sentralmål og spreiingsmål i reelle datasett,D,,,,,0.512,,
Berekne og vurdere sannsyn i statistikk og spel.,A,KM13315,http://psi.udir.no/kl06/KM13315,beregne og vurdere sannsynlighet i statistikk og spill,berekne og vurdere sannsyn i statistikk og spel,1.000,,
"Utforske samanhengen mellom konstant prosentvis endring, vekstfaktor og eksponentialfunksjonar",B,KM13322,http://psi.udir.no/kl06/KM13322,"utforske og forklare sammenhengen mellom konstant prosentvis endring, vekstfaktor og eksponentialfunksjoner","utforske og forklare samanhengen mellom konstant prosentvis endring, vekstfaktor og eksponentialfunksjonar",0.939,,
Oppdage og leke med ord og uttrykk som er felles for engelsk og andre språk eleven kjenner til,A,KM13346,http://psi.udir.no/kl06/KM13346,oppdage og leke med ord og uttrykk som er felles for engelsk og andre språk eleven kjenner til,oppdage og leike med ord og uttrykk som er felles for engelsk og andre språk eleven kjenner til,1.000,,
Bruke tallinje i rekning med positive og negative tal,D,,,,,0.517,,
Reflektere over korleis møte mellom menneske har bidrege til å endre korleis menneske har tenkt og ulike samfunn har vore organiserte,A,KM14697,http://psi.udir.no/kl06/KM14697,reflektere over hvordan møter mellom mennesker har bidratt til å endre hvordan mennesker har tenkt og samfunn har vært organisert,reflektere over korleis møte mellom menneske har bidrege til å endre korleis menneske har tenkt og ulike samfunn har vore organiserte,1.000,,
Lytte til og forstå ord og uttrykk i tilpassede og autentiske tekster.,A,KM13356,http://psi.udir.no/kl06/KM13356,lytte til og forstå ord og uttrykk i tilpassede og autentiske tekster,lytte til og forstå ord og uttrykk i tilpassa og autentiske tekstar,1.000,,
Gjøre rede for jordas forutsetninger for liv og sammenligne med andre himmellegemer i universet.,A,KM13847,http://psi.udir.no/kl06/KM13847,gjøre rede for jordas forutsetninger for liv og sammenligne med andre himmellegemer i universet,"gjere greie for føresetnadene jorda har for liv, og samanlikne med andre himmellekamar i universet",1.000,,
Beskrive posisjonssystemet ved hjelp av ulike representasjonar.,D,,,,,0.511,,
"Utforske likevekt og balanse i praktiske situasjonar, representere dette på ulike måtar og omsetje mellom dei ulike representasjonane.",D,,,,,0.727,,
Forklare korleis ein kan beskrive tid ved hjelp av klokke og kalender.,D,,,,,0.548,,
Løyse likningar og ulikskapar gjennom logiske resonnement og forklare kva det vil seie at eit tal er ei løysing på ei likning.,D,,,,,0.467,,
Bruke ulike strategiar for å løyse lineære likningar og ulikskapar og vurdere om løysingar er gyldige.,B,KM13305,http://psi.udir.no/kl06/KM13305,bruke ulike strategier for å løse ulikheter og vurdere om løsninger er gyldige,bruke ulike strategiar for å løyse ulikskapar og vurdere om løysingar er gyldige,0.884,,
Leke med språket og prøve ut ulike virkemidler og framstillingsmåter i muntlige og skriftlige tekster.,A,KM14171,http://psi.udir.no/kl06/KM14171,leke med språket og prøve ut ulike virkemidler og framstillingsmåter i muntlige og skriftlige tekster,leike med språket og prøve ut ulike verkemiddel og framstillingsmåtar i munnlege og skriftlege tekstar,1.000,Leke med språket og prøve ut ulike virkemidler og framstillingsmåter i muntlige og skriftlige tekster.,
"Bruke fagspråk om setningsoppbygging og bøying av verb, substantiv og adjektiv i samtaler om språk og om egne og andres tekster.",B,KM14159,http://psi.udir.no/kl06/KM14159,"bruke fagspråk om setningsoppbygning og bøying av verb, substantiv og adjektiv i samtaler om språk og om egne og andres tekster","bruke fagspråk om setningsoppbygging og bøying av verb, substantiv og adjektiv i samtalar om språk og om eigne og andre sine tekstar",0.992,,
